rcp,gcm,resolution,name_tgz
ssp126,GFDL-ESM4,c200,rev4.65+ISIMIP_140122_8f7b9423_7760d2bb_cellularmagpie_c200_GFDL-ESM4-ssp126_lpjml-c5bacf3f.tgz
ssp126,MRI-ESM2-0,c200,rev4.65+ISIMIP_140122_8f7b9423_81953396_cellularmagpie_c200_MRI-ESM2-0-ssp126_lpjml-c5bacf3f.tgz
ssp126,UKESM1-0-LL,c200,rev4.65+ISIMIP_140122_8f7b9423_6cab56d1_cellularmagpie_c200_UKESM1-0-LL-ssp126_lpjml-c5bacf3f.tgz
ssp126,MPI-ESM1-2-HR,c200,rev4.65+ISIMIP_140122_8f7b9423_2653d0af_cellularmagpie_c200_MPI-ESM1-2-HR-ssp126_lpjml-c5bacf3f.tgz
ssp126,IPSL-CM6A-LR,c200,rev4.65+ISIMIP_140122_8f7b9423_ee8c0db9_cellularmagpie_c200_IPSL-CM6A-LR-ssp126_lpjml-c5bacf3f.tgz
ssp370,GFDL-ESM4,c200,rev4.65+ISIMIP_140122_8f7b9423_f1dddb27_cellularmagpie_c200_GFDL-ESM4-ssp370_lpjml-c5bacf3f.tgz
ssp370,MRI-ESM2-0,c200,rev4.65+ISIMIP_140122_8f7b9423_46eb501d_cellularmagpie_c200_MRI-ESM2-0-ssp370_lpjml-c5bacf3f.tgz
ssp370,UKESM1-0-LL,c200,rev4.65+ISIMIP_140122_8f7b9423_4cb3d5b4_cellularmagpie_c200_UKESM1-0-LL-ssp370_lpjml-c5bacf3f.tgz
ssp370,MPI-ESM1-2-HR,c200,rev4.65+ISIMIP_140122_8f7b9423_47ecb9f7_cellularmagpie_c200_MPI-ESM1-2-HR-ssp370_lpjml-c5bacf3f.tgz
ssp370,IPSL-CM6A-LR,c200,rev4.65+ISIMIP_140122_8f7b9423_439e8d4d_cellularmagpie_c200_IPSL-CM6A-LR-ssp370_lpjml-c5bacf3f.tgz
ssp585,GFDL-ESM4,c200,rev4.65+ISIMIP_140122_8f7b9423_07915975_cellularmagpie_c200_GFDL-ESM4-ssp585_lpjml-c5bacf3f.tgz
ssp585,MRI-ESM2-0,c200,rev4.65+ISIMIP_140122_8f7b9423_fa2f9d82_cellularmagpie_c200_MRI-ESM2-0-ssp585_lpjml-c5bacf3f.tgz
ssp585,UKESM1-0-LL,c200,rev4.65+ISIMIP_140122_8f7b9423_9b630fca_cellularmagpie_c200_UKESM1-0-LL-ssp585_lpjml-c5bacf3f.tgz
ssp585,MPI-ESM1-2-HR,c200,rev4.65+ISIMIP_140122_8f7b9423_619bc1da_cellularmagpie_c200_MPI-ESM1-2-HR-ssp585_lpjml-c5bacf3f.tgz
ssp585,IPSL-CM6A-LR,c200,rev4.65+ISIMIP_140122_8f7b9423_eb6c310c_cellularmagpie_c200_IPSL-CM6A-LR-ssp585_lpjml-c5bacf3f.tgz
ssp126,GFDL-ESM4,c1000,rev4.65+ISIMIP_140122_8f7b9423_ea327656_cellularmagpie_c1000_GFDL-ESM4-ssp126_lpjml-c5bacf3f.tgz
ssp126,MRI-ESM2-0,c1000,rev4.65+ISIMIP_140122_8f7b9423_0f262b1a_cellularmagpie_c1000_MRI-ESM2-0-ssp126_lpjml-c5bacf3f.tgz
ssp126,UKESM1-0-LL,c1000,rev4.65+ISIMIP_140122_8f7b9423_0c9bba93_cellularmagpie_c1000_UKESM1-0-LL-ssp126_lpjml-c5bacf3f.tgz
ssp126,MPI-ESM1-2-HR,c1000,rev4.65+ISIMIP_140122_8f7b9423_7b95ae66_cellularmagpie_c1000_MPI-ESM1-2-HR-ssp126_lpjml-c5bacf3f.tgz
ssp126,IPSL-CM6A-LR,c1000,rev4.65+ISIMIP_140122_8f7b9423_f0244510_cellularmagpie_c1000_IPSL-CM6A-LR-ssp126_lpjml-c5bacf3f.tgz
ssp370,GFDL-ESM4,c1000,rev4.65+ISIMIP_140122_8f7b9423_65ff61f1_cellularmagpie_c1000_GFDL-ESM4-ssp370_lpjml-c5bacf3f.tgz
ssp370,MRI-ESM2-0,c1000,rev4.65+ISIMIP_140122_8f7b9423_08e08039_cellularmagpie_c1000_MRI-ESM2-0-ssp370_lpjml-c5bacf3f.tgz
ssp370,UKESM1-0-LL,c1000,rev4.65+ISIMIP_140122_8f7b9423_66d4531c_cellularmagpie_c1000_UKESM1-0-LL-ssp370_lpjml-c5bacf3f.tgz
ssp370,MPI-ESM1-2-HR,c1000,rev4.65+ISIMIP_140122_8f7b9423_98d309f5_cellularmagpie_c1000_MPI-ESM1-2-HR-ssp370_lpjml-c5bacf3f.tgz
ssp370,IPSL-CM6A-LR,c1000,rev4.65+ISIMIP_140122_8f7b9423_0e271df3_cellularmagpie_c1000_IPSL-CM6A-LR-ssp370_lpjml-c5bacf3f.tgz
ssp585,GFDL-ESM4,c1000,rev4.65+ISIMIP_140122_8f7b9423_6fdbb93b_cellularmagpie_c1000_GFDL-ESM4-ssp585_lpjml-c5bacf3f.tgz
ssp585,MRI-ESM2-0,c1000,rev4.65+ISIMIP_140122_8f7b9423_c2d8e976_cellularmagpie_c1000_MRI-ESM2-0-ssp585_lpjml-c5bacf3f.tgz
ssp585,UKESM1-0-LL,c1000,rev4.65+ISIMIP_140122_8f7b9423_a725bb41_cellularmagpie_c1000_UKESM1-0-LL-ssp585_lpjml-c5bacf3f.tgz
ssp585,MPI-ESM1-2-HR,c1000,rev4.65+ISIMIP_140122_8f7b9423_a5923ac6_cellularmagpie_c1000_MPI-ESM1-2-HR-ssp585_lpjml-c5bacf3f.tgz
ssp585,IPSL-CM6A-LR,c1000,rev4.65+ISIMIP_140122_8f7b9423_d5be67a6_cellularmagpie_c1000_IPSL-CM6A-LR-ssp585_lpjml-c5bacf3f.tgz
ssp585noco2,GFDL-ESM4,c200,rev4.65ISIMIP_060422_8f7b9423_475037f5_cellularmagpie_c200_GFDL-ESM4-ssp585_2015co2_lpjml-c5bacf3f.tgz
ssp585noco2,GFDL-ESM5,c1000,rev4.65ISIMIP_060422_8f7b9423_2a1135df_cellularmagpie_c1000_GFDL-ESM4-ssp585_2015co2_lpjml-c5bacf3f.tgz
